date,Open price,High price,Low price,Close price
11/29/2018,1221.37,1228.82,1220.27,1224.28
12/1/2018,1221.99,1222.51,1221.65,1222.24
12/3/2018,1223.01,1234.95,1221.39,1231.17
12/4/2018,1231.25,1241.79,1230.06,1238.4
12/8/2018,1249.59,1249.68,1247.94,1248.52
12/12/2018,1243.01,1247.2,1242.14,1245.78
12/13/2018,1245.7,1246.82,1240.34,1242.64
12/15/2018,1237.86,1238.63,1237.59,1238.48
12/19/2018,1248.9,1258.06,1242.15,1243.79
12/26/2018,1272.49,1278.85,1265.01,1266.08
12/29/2018,1279.97,1281.03,1279.42,1280.92
12/31/2018,1280.76,1284.12,1277.55,1280.35
1/2/2019,1282.28,1287.96,1278.79,1281.33
1/3/2019,1281.34,1294.04,1281.33,1293.76
1/5/2019,1285.32,1285.57,1284.45,1284.81
1/7/2019,1285.81,1295.13,1282.72,1286.93
1/8/2019,1287.64,1290.27,1279.44,1284.48
1/9/2018,1284.75,1293.36,1280.21,1292.44
1/12/2019,1287.67,1288.56,1287.36,1287.64
1/15/2019,1291.43,1294.74,1286.92,1289.72
1/16/2019,1289.51,1294.97,1287.99,1292.78
1/19/2019,1281.81,1281.89,1280.74,1281.63
1/21/2019,1281.66,1283.61,1276.9,1280.28
1/22/2019,1279.76,1285.47,1277.52,1283.84
1/23/2019,1284.45,1286.5,1278.75,1283.3
1/24/2019,1283.29,1284.86,1277.01,1280.08
1/26/2019,1299.03,1303.62,1298.63,1303.37
1/28/2019,1301.43,1304.49,1297.92,1302.95
1/29/2019,1302.93,1312.01,1302.75,1311.37
1/30/2019,1311.53,1323.38,1309.15,1318.79
1/31/2019,1318.99,1326.29,1317.53,1320.78
2/2/2019,1318.84,1319.47,1317.59,1317.65
2/4/2019,1318.09,1319.11,1308.74,1313.13
2/5/2019,1313.32,1316.83,1310.88,1314.55
2/12/2019,1308.83,1314.79,1306.64,1310.77
2/13/2019,1310.99,1318.08,1305.31,1306.09
2/14/2019,1306.32,1314.41,1303.07,1312.44
2/16/2019,1321.33,1322.59,1321.01,1321.41
2/18/2019,1321.4,1327.68,1320.76,1326.26
2/19/2019,1323.9,1341.74,1322.95,1339.94
2/20/2019,1339.95,1346.76,1337.06,1340.85
2/21/2019,1340.67,1341.58,1324.24,1325.68
2/23/2019,1327.97,1328.75,1327.68,1328.16
2/26/2019,1329.22,1332.6,1325.25,1328.41
2/27/2019,1328.24,1330.24,1323.59,1328.6
2/28/2019,1320.3,1327.12,1312.87,1313.08
3/2/2019,1293.28,1293.75,1290.24,1293.52
3/5/2018,1286.62,1289.62,1281.43,1288.12
3/9/2019,1299.99,1300.63,1298.19,1298.38
3/11/2019,1298.1,1299.19,1290.63,1293.67
3/12/2019,1293.58,1302.2,1292.12,1301.72
3/13/2019,1301.7,1311.3,1300.7,1310.28
3/14/2019,1310.39,1310.45,1293.07,1296.03
3/16/2019,1302.14,1302.6,1302.08,1302.23
3/18/2019,1302.13,1306.58,1298.31,1303.91
3/19/2019,1303.92,1310.93,1302.42,1306.62
3/25/2019,1313.89,1324.49,1311.09,1321.72
3/26/2019,1321.78,1323.33,1312.8,1316.78
4/6/2019,1291.64,1292.22,1291.29,1291.55
4/8/2019,1291.82,1303.76,1291.53,1297.77
4/9/2019,1297.78,1306.24,1296.72,1304.03
4/11/2019,1309.07,1309.26,1289.92,1291.6
4/13/2019,1290.87,1291.6,1290.41,1290.69
4/15/2019,1291.22,1292.01,1282.61,1288.03
4/16/2019,1288.24,1288.74,1273.04,1276.31
4/17/2019,1276.51,1279.74,1273.16,1273.7
4/18/2019,1273.71,1277.69,1271.36,1274.81
4/22/2019,1278.94,1279.8,1273.89,1274.92
4/23/2019,1274.99,1276.56,1266.43,1271.21
4/27/2019,1286.53,1286.57,1285.54,1286.01
4/29/2019,1286.32,1286.7,1278.26,1280.26
4/30/2019,1280.56,1286.18,1279.58,1284.11
5/1/2019,1284.02,1287.2,1273.53,1275.94
5/2/2019,1276.24,1278.07,1266.49,1271.49
5/4/2019,1271.68,1282.53,1269.09,1279.62
5/6/2019,1280.21,1285.89,1277.33,1281.07
5/7/2019,1280.94,1286.03,1278.46,1285.48
5/8/2019,1285.11,1291.43,1279.53,1280.99
5/9/2019,1280.96,1288.12,1279.73,1284.33
5/11/2019,1285.86,1286.67,1285.68,1285.93
5/13/2019,1287.62,1301.26,1282.08,1299.71
5/14/2019,1299.91,1303.35,1293.82,1296.19
5/15/2019,1296.46,1300.9,1293.14,1296.11
5/16/2019,1296.21,1298.66,1284.23,1286.69
5/18/2019,1286.61,1288.99,1275.06,1276.95
5/20/2019,1277.8,1278.99,1273.82,1278.15
5/21/2019,1278.29,1278.49,1269.74,1274.42
5/22/2019,1274.54,1277.26,1272.57,1273.64
5/23/2019,1273.63,1287.28,1272.9,1283.85
5/25/2019,1284.75,1285.07,1284.47,1284.87
5/28/2019,1285.25,1286.65,1276.28,1279.03
5/29/2019,1279.16,1285.58,1279.1,1280.73
5/30/2019,1280.74,1289,1275.11,1288.03
6/1/2019,1306.14,1306.85,1305.1,1305.51
6/3/2019,1306.61,1328.02,1306.14,1327.43
6/10/2019,1336.91,1337.72,1325.19,1328.37
6/11/2019,1328.38,1329.9,1319.96,1326.98
6/15/2019,1340.94,1341.82,1340.2,1341.57
6/22/2019,1399.9,1400.49,1398.6,1399.43
6/24/2019,1400.46,1419.95,1399.89,1418.27
6/25/2019,1418.49,1438.76,1412.8,1422.62
6/26/2019,1423.16,1424.43,1403.58,1410.14
6/27/2019,1409.21,1411.89,1398.9,1408.47
7/1/2019,1397.81,1397.81,1381.98,1385.01
7/2/2019,1384.91,1415.7,1382.99,1413.64
7/6/2019,1402.62,1402.62,1398.32,1399.07
7/8/2019,1399.12,1407.66,1392.87,1394.93
7/9/2019,1394.84,1399.74,1386.3,1396.85
7/15/2019,1414.78,1419.83,1407.96,1413.57
7/16/2019,1413.63,1418.24,1401.24,1403.79
7/18/2019,1424.62,1446.62,1414.82,1444.85
7/20/2019,1425.62,1426.33,1424.44,1425.38
7/30/2019,1427.62,1433.05,1422.41,1431.64
7/31/2019,1431.56,1434.06,1411.11,1418.88
8/3/2019,1441.78,1442.05,1439.55,1440.99
8/5/2019,1440.62,1469.74,1436.97,1461.32
8/6/2019,1463.42,1474.99,1456.58,1471.2
8/7/2019,1471.97,1509.95,1471.46,1503.09
8/8/2019,1503.3,1509.4,1490.13,1505.24
8/10/2019,1497.53,1498.68,1496.45,1497.34
